Player,q_lower,iqr_lower,median,iqr_upper,q_upper
6639e500,-0.5117361,-0.23498525,-0.1070245,-0.00981489,0.1618176
66b76d44,-0.417607325,-0.13783775,-0.029193,0.057852275,0.290507625
67ac5bb8,-0.4228597,-0.1594465,-0.04839955,0.0348449,0.241250224999999
6afaebf2,-0.34456715,-0.11737225,-0.0228234,0.05684025,0.260159225
6ca5ec4b,-0.359869925,-0.11314125,-0.01212345,0.076227125,0.298127625
6f7d826d,-0.17326005,0.002694155,0.1000365,0.22589025,0.5106604
74618572,-0.3810378,-0.12923425,-0.02678135,0.05758975,0.273233174999999
78b8ac63,-0.37861025,-0.11573075,-0.01351105,0.07401925,0.31433275
79300479,-0.186518325,-0.00711748,0.07591515,0.18489725,0.41733825
79c84d1c,-0.2614203,-0.0602624,0.01919915,0.11401,0.32568805
7aa8adfe,-0.35208705,-0.10666275,-0.0127657,0.071297525,0.292266325
7fcc71d8,-0.263550075,-0.0441627,0.0428123,0.15635825,0.436953225
819b3158,-0.3205465,-0.086692675,0.003132035,0.099259125,0.3439883
82518f62,-0.20525425,-0.012478125,0.0774354,0.1995215,0.476590775
828657ff,-0.419611825,-0.14425925,-0.03346645,0.0541714,0.283037325
83d074ff,-0.3302427,-0.098663925,-0.00681617,0.080299275,0.295466549999999
862a1c15,-0.278427,-0.06346355,0.0186477,0.112097,0.34232715
892d5bb1,-0.3778525,-0.11689475,-0.01521755,0.07230755,0.31658045
8aec0537,-0.290629025,-0.06767385,0.01815205,0.11636425,0.344406075
8b529245,-0.25974585,-0.04041695,0.04750685,0.163335,0.4522432
8b788c01,-0.390957275,-0.12434375,-0.01880565,0.0710646,0.2986009
8b9ebd03,-0.330821075,-0.09596355,-0.002534765,0.087736475,0.32490655
8df7a2fb,-0.3365001,-0.0853993,0.007198155,0.10464075,0.365456774999999
8e16dd48,-0.319367575,-0.077832775,0.01191305,0.1119175,0.361739349999999
8e92be30,-0.22332655,-0.03709615,0.03934035,0.1367265,0.346703425
90f91999,-0.35465625,-0.10650875,-0.0108112,0.078670625,0.3147354
92e7e919,-0.174487775,-0.0057467375,0.07423915,0.176781,0.4007767
93feac6e,-0.5307344,-0.23244675,-0.1006915,-0.00406601,0.174763449999999
9744ff80,-0.48388775,-0.201348,-0.07897705,0.010260725,0.19955515
980522ec,-0.53742455,-0.21620425,-0.0845304,0.0100839,0.2108632
99127249,-0.49756395,-0.2148445,-0.09311875,0.00107389,0.186534975
9b5ce51a,-0.32022415,-0.0814552,0.00924948,0.10749025,0.349458375
9b6f7fd5,-0.40963785,-0.14410525,-0.0343779,0.050397375,0.2578253
9c36ed83,-0.45143005,-0.1887725,-0.0758703,0.0096623,0.186635225
9cfbad36,-0.407205925,-0.135262,-0.02655615,0.061658675,0.290566025
a1d5bd30,-0.259681,-0.0612772,0.01796385,0.107675,0.3012576
a2b105e0,-0.432899625,-0.169574,-0.05743515,0.02634625,0.222063625
a3b03921,-0.474698975,-0.1917705,-0.06808635,0.018340925,0.210577075
a3d94a58,-0.345940325,-0.0939234,-0.00141261,0.094381875,0.35010205
a53649b7,-0.434556325,-0.1861255,-0.071665,0.015644075,0.20060225
a755db8c,-0.32431605,-0.092530375,0.00130564,0.09386625,0.325632974999999
a78ff07f,-0.29633525,-0.06902355,0.01846375,0.11987525,0.36998575
a816dbfb,-0.287076,-0.052326875,0.03597355,0.15079825,0.4350755
aa849a12,-0.346358475,-0.097475075,-0.002232955,0.091221025,0.329410175
ac05f970,-0.383836175,-0.133833,-0.02870045,0.054629375,0.2689069
ae4fc6a4,-0.180831475,-0.0087693575,0.07593185,0.18959075,0.42404215
aed3a70f,-0.259590175,-0.073598425,0.00465658,0.0867091,0.267632999999999
aeed5c06,-0.3788551,-0.1229515,-0.0208117,0.064944875,0.287269725
b0b4fd3e,-0.304001325,-0.080070625,0.01232555,0.1135995,0.358791025
b2bc3b1f,-0.330180625,-0.087725075,0.003813705,0.098229125,0.33771675
b2d31e83,-0.448579625,-0.167827,-0.05182755,0.0333667,0.2465271
b400bde0,-0.285057575,-0.060650025,0.0209454,0.11387425,0.339377025
b561db50,-0.372960775,-0.11948575,-0.0167785,0.070676525,0.3069411
b62878a5,-0.2284941,-0.02414015,0.0653471,0.18390475,0.465225775
b66315ae,-0.471496375,-0.2185035,-0.1029,-0.01086355,0.1527174
bb5fbd2b,-0.32535185,-0.089994225,0.00307473,0.09667555,0.334996875
bc7dc64d,-0.23595575,-0.04504205,0.02970395,0.12390775,0.3393795
bf34eebd,-0.257864775,-0.0332498,0.05436625,0.17322275,0.470752325
c17bfb65,-0.399809675,-0.146056,-0.03822495,0.0435164,0.24525995
c1fe2a48,-0.53658575,-0.2236835,-0.09048125,0.0035839925,0.195112975
c2731c10,-0.279305125,-0.047517975,0.03575345,0.14713225,0.412621174999999
c4486bac,-0.226059675,-0.0207365,0.06462455,0.18254675,0.449123174999999
c596fcb0,-0.257850825,-0.059469275,0.01875535,0.10780125,0.310883499999999
c6dc9ecd,-0.317736325,-0.08101445,0.01209255,0.1121485,0.370585475
c8aa95da,-0.43321445,-0.16054825,-0.04663925,0.036299925,0.24383775
c92e1a31,-0.42043735,-0.1554595,-0.0405487,0.0432627,0.2515395
cd1acf9d,-0.331449125,-0.0871053,0.0045175,0.10346875,0.35881615
ce4246f5,-0.310708275,-0.0724434,0.0169078,0.11949225,0.384353
ce5143da,-0.422278475,-0.16791025,-0.0615178,0.020156575,0.20988115
d328a254,-0.2881587,-0.056128775,0.0296541,0.13322325,0.378833174999999
d93c2511,-0.316846175,-0.08032965,0.00874606,0.103454,0.340966875
da052c14,-0.31043105,-0.0725412,0.01790345,0.1204655,0.372191424999999
dbf053da,-0.28386345,-0.050741025,0.0354635,0.1496935,0.43289465
dc62b55d,-0.23730865,-0.034343775,0.0443106,0.152958,0.390420724999999
dc7f8a28,-0.2392685,-0.037018275,0.0390366,0.13702775,0.365474275
dd549382,-0.333805675,-0.08713365,0.00829559,0.1086605,0.371645025
de112b84,-0.280682325,-0.058002875,0.0292882,0.138081,0.393657849999999
df3cda47,-0.248630175,-0.03383365,0.0496321,0.16207625,0.42702235
e06683ca,-0.35238385,-0.10168025,-0.0050926,0.08674605,0.3189162
e09f279b,-0.330562475,-0.11656575,-0.02519215,0.052173125,0.2413237
e342ad68,-0.37290985,-0.17461125,-0.07730115,-0.000121573,0.147778949999999
e46012d4,-0.239189275,-0.036565025,0.04925285,0.16170125,0.41985595
e541326e,-0.345063125,-0.0918687,0.002225595,0.099533,0.353187974999999
e5478b87,-0.187347625,-0.002985775,0.08620045,0.2040725,0.4717653
e61b8aee,-0.270699225,-0.0462153,0.0419469,0.1546195,0.4251891
e77dc3b2,-0.374215575,-0.1520215,-0.05564325,0.02042385,0.195156524999999
e8832875,-0.45474565,-0.1858835,-0.06964745,0.01685685,0.203389175
ed1e53f3,-0.0439586825,0.10579975,0.239101,0.3804925,0.6530091
ed5c0319,-0.47645085,-0.19063475,-0.06595045,0.02111975,0.219948675
ee38d9c5,-0.3471908,-0.11823,-0.0212688,0.06067355,0.264371074999999
efd2ec23,-0.215034625,-0.013336425,0.0766503,0.20139275,0.4877856
f2bf1b0f,-0.4140747,-0.1396305,-0.03249095,0.0506294,0.27391165
f84a807c,-0.330766525,-0.080549025,0.0127478,0.114568,0.370735125
fa031b34,-0.351825425,-0.11846325,-0.02252745,0.0603784,0.269830549999999
fc15fb84,-0.21417685,-0.016153375,0.07068735,0.1887135,0.449804999999999
fed7cb61,-0.385427475,-0.161165,-0.06034375,0.0160081,0.188585325
