Player,Shirt Number,Nation,Position,Age,Minutes,Goals,Assists_x,Penalty Kicks Made,Penalty Kicks Attempted,Shots Total,Shots on Target,Yellow Cards_x,Red Cards_x,Touches_x,Tackles_x,Interceptions_x,Blocks_x,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals_x,Shot-Creating Actions,Goal-Creating Actions,Passes Completed_x,Passes Attempted_x,Pass Completion %_x,Progressive Passes_x,Carries_x,Progressive Carries_x,Take-Ons Attempted_x,Successful Take-Ons_x,team tag,match tag,player tag,id_team_A,score_team_A,id_team_B,score_team_B,Passes Completed_y,Passes Attempted_y,Pass Completion %_y,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Assists_y,xAG: Exp. Assisted Goals_y,xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes_y,Passes Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses_x,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Completed,Passes Offside,Passes Blocked_x,Tackles_y,Tackles Won_x,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks_y,Shots Blocked,Passes Blocked_y,Interceptions_y,Tkl+Int,Clearances,Errors,Touches_y,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted_y,Successful Take-Ons_y,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries_y,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries_y,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Yellow Cards_y,Red Cards_y,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses_y,Interceptions,Tackles Won_y,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Simple_Position,Point_won
Kaoru Mitoma,22,jp JPN,LW,25-162,72,0,1,0,0,0,0,0,0,33,3,0,2,0.0,0.0,1.1,2,1,15,24,62.5,2,14,2,2,2,d07537b9,ac6abad1,74618572,d07537b9,4,cff3d9bb,1,15,24,62.5,229,55,9,14,64.3,5,6,83.3,1,3,33.3,1,1.1,0.0,2,1,1,0,2,24,23,1,0,0,0,1,0,1,0,0,0,15,0,1,3,2,1,2,0,1,2,50.0,1,2,0,2,0,3,1,0,33,1,10,12,11,2,33,2,2,100.0,0,0.0,14,111,67,2,0,1,0,0,16,2,0,0,0,1,0,0,1,0,2,0,0,0,7,0,0,,Forward,1.0
Tariq Lamptey,2,gh GHA,RB,22-029,18,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,6,0,0,0,d07537b9,ac6abad1,f4e433d4,d07537b9,4,cff3d9bb,1,3,6,50.0,57,30,1,2,50.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9,2,4,3,2,0,9,0,0,,0,,6,25,2,0,0,0,2,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0.0,Defenders,1.0
Solly March,7,eng ENG,RW,28-101,90,0,0,0,0,1,0,0,0,48,0,1,1,0.0,0.0,0.2,3,0,25,38,65.8,4,27,4,2,1,d07537b9,ac6abad1,bb5fbd2b,d07537b9,4,cff3d9bb,1,25,38,65.8,383,108,17,19,89.5,6,11,54.5,2,5,40.0,0,0.2,0.0,1,1,0,0,4,38,31,7,0,0,1,6,0,5,4,0,0,25,0,3,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,48,2,9,11,29,4,48,2,1,50.0,0,0.0,27,205,109,4,2,2,0,1,31,7,0,0,0,2,3,0,6,1,0,0,0,0,2,1,2,33.3,Forward,1.0
Adam Lallana,14,eng ENG,AM,34-172,64,0,0,0,0,1,0,0,0,28,1,0,0,0.1,0.1,0.0,0,0,17,21,81.0,0,12,0,0,0,d07537b9,ac6abad1,99813635,d07537b9,4,cff3d9bb,1,17,21,81.0,168,34,11,12,91.7,3,3,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,28,1,5,17,6,2,28,0,0,,0,,12,45,15,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,100.0,Midfielders,1.0
Julio Enciso,20,py PAR,"LW,AM",18-279,26,0,0,0,0,4,3,1,0,13,1,0,0,0.3,0.3,0.0,4,1,2,4,50.0,0,8,2,3,2,d07537b9,ac6abad1,9cfbad36,d07537b9,4,cff3d9bb,1,2,4,50.0,19,3,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,0,0,6,8,2,13,3,2,66.7,1,33.3,8,101,66,2,2,1,2,1,8,0,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,100.0,Forward,1.0
Alexis Mac Allister,10,ar ARG,DM,23-309,90,0,0,0,0,0,0,0,0,49,3,3,1,0.0,0.0,0.3,5,0,30,40,75.0,1,16,0,0,0,d07537b9,ac6abad1,83d074ff,d07537b9,4,cff3d9bb,1,30,40,75.0,398,132,22,25,88.0,7,10,70.0,1,4,25.0,0,0.3,0.1,5,0,1,0,1,40,38,2,0,0,0,3,0,2,2,0,0,30,0,1,3,3,3,0,0,3,4,75.0,1,1,0,1,3,6,0,0,49,3,25,16,8,0,49,0,0,,0,,16,51,22,0,0,0,0,0,27,0,0,0,0,1,0,0,3,3,3,0,0,0,7,2,0,100.0,Midfielders,1.0
Moises Caicedo,25,ec ECU,DM,20-361,90,0,0,0,0,1,0,0,0,45,0,1,4,0.2,0.2,0.2,5,0,29,35,82.9,6,17,1,3,1,d07537b9,ac6abad1,16264a81,d07537b9,4,cff3d9bb,1,29,35,82.9,527,252,10,12,83.3,13,16,81.3,4,4,100.0,0,0.2,0.1,3,4,3,1,6,35,35,0,0,1,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,,0,4,0,4,1,1,1,0,45,2,13,24,8,2,45,3,1,33.3,2,66.7,17,65,35,1,0,0,0,0,23,0,0,0,0,4,1,0,1,1,0,0,0,0,5,1,1,50.0,Midfielders,1.0
Pervis Estupinan,30,ec ECU,LB,24-281,90,0,0,0,0,1,0,0,0,49,3,1,2,0.0,0.0,0.3,6,0,32,36,88.9,3,23,2,0,0,d07537b9,ac6abad1,d38fdf53,d07537b9,4,cff3d9bb,1,32,36,88.9,512,185,18,20,90.0,10,11,90.9,3,4,75.0,0,0.3,0.1,4,3,3,2,3,36,30,6,0,0,0,3,6,0,0,0,0,32,0,0,3,2,3,0,0,1,1,100.0,0,2,0,2,1,4,3,0,49,6,17,23,9,3,49,0,0,,0,,23,116,78,2,0,2,1,0,23,3,0,0,0,0,0,0,3,1,2,0,0,0,3,0,2,0.0,Defenders,1.0
Lewis Dunk,5,eng ENG,CB,30-342,90,0,0,0,0,0,0,0,0,58,3,0,1,0.0,0.0,0.0,0,0,39,45,86.7,0,25,0,0,0,d07537b9,ac6abad1,282f75f3,d07537b9,4,cff3d9bb,1,39,45,86.7,815,369,16,18,88.9,16,18,88.9,7,8,87.5,0,0.0,0.0,0,1,0,0,0,45,42,3,2,0,0,0,0,0,0,0,0,39,0,0,3,1,3,0,0,1,1,100.0,0,1,1,0,0,3,6,0,58,15,40,20,0,0,58,0,0,,0,,25,131,82,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,50.0,Defenders,1.0
Adam Webster,4,eng ENG,CB,27-298,90,0,0,0,0,2,0,0,0,51,1,0,3,0.2,0.2,0.0,1,0,30,37,81.1,1,22,1,0,0,d07537b9,ac6abad1,c40b6180,d07537b9,4,cff3d9bb,1,30,37,81.1,593,304,13,15,86.7,13,16,81.3,4,5,80.0,0,0.0,0.0,0,2,0,0,1,37,35,2,2,0,0,1,0,0,0,0,0,30,0,0,1,1,1,0,0,1,1,100.0,0,3,1,2,0,1,8,0,51,17,33,15,3,2,51,0,0,,0,,22,76,34,1,0,0,0,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0,7,2,2,50.0,Defenders,1.0
Pascal Gross,13,de GER,"RB,AM",31-136,90,1,0,0,0,2,1,0,0,52,3,0,4,0.2,0.2,0.1,1,0,30,39,76.9,3,23,0,0,0,d07537b9,ac6abad1,8aec0537,d07537b9,4,cff3d9bb,1,30,39,76.9,536,260,18,19,94.7,9,14,64.3,3,6,50.0,0,0.1,0.0,1,3,0,0,3,39,29,10,2,0,1,1,8,0,0,0,0,30,0,1,3,2,3,0,0,2,2,100.0,0,4,1,3,0,3,0,0,52,4,22,20,10,1,52,0,0,,0,,23,64,33,0,0,0,1,0,29,2,0,0,0,3,0,0,1,0,2,0,0,0,1,0,1,0.0,Defenders,1.0
Kai Havertz,29,de GER,"FW,CM",23-140,90,1,0,0,0,4,2,0,0,56,0,0,1,0.7,0.7,0.1,2,0,35,40,87.5,4,30,2,4,0,cff3d9bb,ac6abad1,fed7cb61,d07537b9,4,cff3d9bb,1,35,40,87.5,399,95,25,27,92.6,8,9,88.9,0,1,0.0,0,0.1,0.0,2,3,2,0,4,40,36,4,0,0,1,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,56,2,5,22,30,8,56,4,0,0.0,4,100.0,30,220,50,2,0,1,1,2,42,10,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Forward,0.0
Mason Mount,19,eng ENG,"LM,AM",23-292,90,0,0,0,0,3,2,0,0,69,0,0,0,0.1,0.1,0.0,2,0,49,58,84.5,9,43,2,0,0,cff3d9bb,ac6abad1,9674002f,d07537b9,4,cff3d9bb,1,49,58,84.5,813,266,27,30,90.0,17,18,94.4,4,6,66.7,0,0.0,0.1,1,8,1,0,9,58,50,8,3,0,0,5,1,4,0,4,0,49,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,69,1,4,38,27,4,69,0,0,,0,,43,210,91,2,3,0,2,2,52,3,0,0,0,3,1,0,5,0,0,0,0,0,1,0,1,0.0,Midfielders,0.0
Conor Gallagher,23,eng ENG,"AM,RM",22-265,78,0,1,0,0,2,2,0,0,41,0,1,1,0.2,0.2,0.4,4,1,27,32,84.4,6,24,0,1,1,cff3d9bb,ac6abad1,c2731c10,d07537b9,4,cff3d9bb,1,27,32,84.4,393,103,12,13,92.3,13,14,92.9,0,1,0.0,1,0.4,0.2,2,1,2,1,6,32,32,0,0,0,0,3,0,0,0,0,0,27,0,2,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,41,3,6,16,19,2,41,1,1,100.0,0,0.0,24,111,43,0,1,0,0,2,33,3,0,0,0,1,2,0,3,1,0,0,0,0,4,1,3,25.0,Midfielders,0.0
Hakim Ziyech,22,ma MAR,RM,29-224,12,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,7,10,70.0,1,7,0,1,0,cff3d9bb,ac6abad1,6622454d,d07537b9,4,cff3d9bb,1,7,10,70.0,110,20,5,5,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0,1,1,0,1,10,9,1,1,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,13,0,1,9,3,0,13,1,0,0.0,1,100.0,7,42,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Midfielders,0.0
Mateo Kovacic,8,hr CRO,"CM,DM",28-176,90,0,0,0,0,1,0,1,0,76,1,2,0,0.1,0.1,0.0,5,0,51,64,79.7,6,51,4,1,0,cff3d9bb,ac6abad1,79c0821a,d07537b9,4,cff3d9bb,1,51,64,79.7,766,303,28,32,87.5,22,26,84.6,0,4,0.0,0,0.0,0.0,0,9,0,0,6,64,63,1,1,1,0,0,0,0,0,0,0,51,0,0,1,0,0,0,1,1,1,100.0,0,0,0,0,2,3,2,0,76,4,16,47,13,0,76,1,0,0.0,1,100.0,51,373,206,4,1,0,3,0,60,1,1,0,0,1,2,0,0,2,0,0,0,0,5,1,0,100.0,Midfielders,0.0
Ruben Loftus-Cheek,12,eng ENG,"RB,CM",26-279,90,0,0,0,0,1,0,0,0,68,1,0,0,0.0,0.0,0.2,5,1,51,56,91.1,5,41,4,3,1,cff3d9bb,ac6abad1,e97fd090,d07537b9,4,cff3d9bb,1,51,56,91.1,750,272,35,39,89.7,15,16,93.8,1,1,100.0,0,0.2,0.1,2,6,0,0,5,56,49,7,4,0,0,1,3,0,0,0,0,51,0,1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0,68,2,15,39,15,4,68,3,1,33.3,1,33.3,41,217,133,4,3,0,3,0,45,4,0,0,0,0,5,0,1,0,1,0,0,1,10,1,0,100.0,Defenders,0.0
Raheem Sterling,17,eng ENG,"WB,RW",27-325,62,0,0,0,0,0,0,1,0,35,0,0,2,0.0,0.0,0.2,2,0,15,28,53.6,1,22,3,2,0,cff3d9bb,ac6abad1,b400bde0,d07537b9,4,cff3d9bb,1,15,28,53.6,236,74,10,12,83.3,4,4,100.0,1,3,33.3,0,0.2,0.2,2,0,2,1,1,28,25,3,0,0,0,4,0,3,3,0,0,15,0,6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,35,0,2,7,26,5,35,2,0,0.0,2,100.0,22,113,65,3,1,2,2,0,27,8,1,0,0,0,1,0,4,0,0,0,0,0,2,0,0,,Defenders,0.0
Pierre-Emerick Aubameyang,9,ga GAB,"FW,LW,RW",33-133,28,0,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,7,1,0,0,cff3d9bb,ac6abad1,d5dd5f1f,d07537b9,4,cff3d9bb,1,7,7,100.0,87,16,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,1,1,0,7,6,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,12,0,0,4,8,0,12,0,0,,0,,7,36,28,1,0,0,1,2,10,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Forward,0.0
Christian Pulisic,10,us USA,"WB,LW,RW",24-041,78,0,0,0,0,2,0,0,0,36,2,1,1,0.2,0.2,0.1,3,0,16,21,76.2,2,21,3,2,0,cff3d9bb,ac6abad1,1bf33a9a,d07537b9,4,cff3d9bb,1,16,21,76.2,198,38,11,12,91.7,4,7,57.1,0,0,,0,0.1,0.1,2,0,1,0,2,21,21,0,0,0,0,1,0,0,0,0,0,16,0,1,2,1,0,1,1,1,1,100.0,0,1,0,1,1,3,1,0,36,1,6,10,20,6,36,2,0,0.0,0,0.0,21,201,86,3,3,1,5,1,26,9,0,0,0,0,2,0,1,1,1,0,0,0,0,3,1,75.0,Defenders,0.0
Armando Broja,18,al ALB,FW,21-049,12,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0,cff3d9bb,ac6abad1,97220da2,d07537b9,4,cff3d9bb,1,4,6,66.7,52,1,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,8,0,0,6,2,0,8,0,0,,0,,4,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0,Forward,0.0
Marc Cucurella,32,es ESP,"CB,LB",24-099,63,0,0,0,0,0,0,0,0,47,0,0,2,0.0,0.0,0.0,1,0,36,44,81.8,1,24,0,0,0,cff3d9bb,ac6abad1,1daec722,d07537b9,4,cff3d9bb,1,36,44,81.8,526,191,22,22,100.0,10,13,76.9,4,7,57.1,0,0.0,0.0,0,1,0,0,1,44,30,14,1,0,0,0,13,0,0,0,0,36,0,1,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,1,0,47,1,13,21,13,0,47,0,0,,0,,24,70,14,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,Defenders,0.0
Ben Chilwell,21,eng ENG,LB,25-312,27,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,1,16,2,0,0,cff3d9bb,ac6abad1,d2424d1b,d07537b9,4,cff3d9bb,1,22,25,88.0,253,92,20,20,100.0,1,1,100.0,1,4,25.0,0,0.0,0.0,0,2,0,0,1,25,19,6,1,0,1,2,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,0,6,9,11,1,26,0,0,,0,,16,112,87,2,1,0,0,0,19,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0.0,Defenders,0.0
Thiago Silva,6,br BRA,CB,38-037,90,0,0,0,0,0,0,0,0,74,1,1,6,0.0,0.0,0.0,0,0,57,63,90.5,4,38,0,0,0,cff3d9bb,ac6abad1,86e7deaf,d07537b9,4,cff3d9bb,1,57,63,90.5,961,488,26,28,92.9,27,28,96.4,4,5,80.0,0,0.0,0.0,0,4,0,0,4,63,60,3,2,0,0,0,1,0,0,0,0,57,0,2,1,1,1,0,0,0,0,,0,6,5,1,1,2,3,2,74,16,41,33,1,1,74,0,0,,0,,38,154,46,0,1,0,0,0,44,0,0,0,0,0,0,0,0,1,1,0,0,0,8,2,1,66.7,Defenders,0.0
Trevoh Chalobah,14,eng ENG,CB,23-116,90,0,0,0,0,0,0,0,0,70,2,1,0,0.0,0.0,0.0,1,0,59,62,95.2,3,49,0,0,0,cff3d9bb,ac6abad1,5515376c,d07537b9,4,cff3d9bb,1,59,62,95.2,1194,369,15,16,93.8,37,38,97.4,7,8,87.5,0,0.0,0.0,0,4,0,0,3,62,60,2,2,0,0,0,0,0,0,0,0,59,0,0,2,1,2,0,0,1,4,25.0,3,0,0,0,1,3,0,0,70,5,33,37,0,0,70,0,0,,0,,49,243,148,0,0,0,1,0,50,0,0,0,0,1,1,0,0,1,1,0,0,1,7,1,1,50.0,Defenders,0.0
Kieffer Moore,21,wls WAL,FW,30-082,90,2,0,0,0,3,2,0,0,51,3,0,2,0.4,0.4,0.0,1,1,17,30,56.7,3,27,1,2,0,4ba7cbea,dcb3b971,01ce9e70,4ba7cbea,2,361ca564,3,17,30,56.7,263,55,8,13,61.5,7,8,87.5,1,2,50.0,0,0.0,0.0,0,3,0,0,3,30,29,1,0,0,0,0,0,0,0,0,0,17,0,3,3,3,0,2,1,2,2,100.0,0,2,2,0,0,3,4,0,51,8,13,26,12,6,51,2,0,0.0,2,100.0,27,64,27,1,0,0,4,3,32,3,0,0,0,0,0,0,0,0,3,0,0,0,3,5,7,41.7,Forward,0.0
Dominic Solanke,9,eng ENG,"FW,AM",25-045,88,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,1,1,8,12,66.7,1,16,1,0,0,4ba7cbea,dcb3b971,e77dc3b2,4ba7cbea,2,361ca564,3,8,12,66.7,98,18,6,8,75.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0,0,1,0,1,12,11,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,3,0,29,4,10,13,6,1,29,0,0,,0,,16,71,33,1,1,0,5,1,16,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,50.0,Forward,0.0
Jack Stephens,3,eng ENG,CB,28-275,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,1,0,0,0,4ba7cbea,dcb3b971,6adbc307,4ba7cbea,2,361ca564,3,2,2,100.0,44,14,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,,0,,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Defenders,0.0
Philip Billing,29,dk DEN,DM,26-140,62,0,0,0,0,0,0,0,0,33,2,0,1,0.0,0.0,0.0,1,0,19,23,82.6,2,20,1,0,0,4ba7cbea,dcb3b971,d328a254,4ba7cbea,2,361ca564,3,19,23,82.6,276,106,11,12,91.7,8,9,88.9,0,1,0.0,0,0.0,0.0,0,1,0,0,2,23,22,1,0,0,0,2,1,0,0,0,0,19,0,1,2,1,1,0,1,0,0,,0,1,0,1,0,2,2,0,33,4,12,11,10,1,33,0,0,,0,,20,81,49,1,0,0,1,0,20,1,0,0,0,1,0,0,2,0,1,0,0,0,2,1,0,100.0,Midfielders,0.0
Jaidon Anthony,32,eng ENG,AM,22-332,28,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,1,0,4ba7cbea,dcb3b971,e4238fb1,4ba7cbea,2,361ca564,3,2,3,66.7,14,2,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,6,0,1,3,2,2,6,1,0,0.0,1,100.0,4,35,4,0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,Midfielders,0.0
Jefferson Lerma,8,co COL,"DM,CM",28-004,90,0,0,0,0,1,0,0,0,33,3,1,1,0.0,0.0,0.0,2,0,18,26,69.2,1,17,1,0,0,4ba7cbea,dcb3b971,9b5ce51a,4ba7cbea,2,361ca564,3,18,26,69.2,298,90,8,11,72.7,9,10,90.0,1,2,50.0,0,0.0,0.0,1,0,0,0,1,26,25,1,0,0,0,0,1,0,0,0,0,18,0,2,3,1,0,3,0,0,0,,0,1,1,0,1,4,1,0,33,2,8,16,9,1,33,0,0,,0,,17,68,34,1,0,1,0,1,17,1,0,0,0,1,0,0,0,1,1,0,0,0,4,1,1,50.0,Midfielders,0.0
Lewis Cook,4,eng ENG,"DM,CM",25-268,90,0,0,0,0,0,0,1,0,40,2,2,0,0.0,0.0,0.1,2,0,27,32,84.4,7,24,0,1,0,4ba7cbea,dcb3b971,2afc7272,4ba7cbea,2,361ca564,3,27,32,84.4,531,203,12,14,85.7,10,11,90.9,4,6,66.7,0,0.1,0.1,2,1,1,1,7,32,25,7,3,0,0,5,0,2,2,0,0,27,0,1,2,0,1,1,0,0,1,0.0,1,0,0,0,2,4,3,0,40,3,10,22,9,1,40,1,0,0.0,1,100.0,24,92,13,0,0,0,0,1,19,1,1,0,0,1,1,0,5,2,0,0,0,0,6,0,0,,Midfielders,0.0
Jordan Zemura,33,zw ZIM,WB,22-349,90,0,0,0,0,0,0,0,0,40,1,1,2,0.0,0.0,0.0,1,0,20,28,71.4,0,26,2,1,0,4ba7cbea,dcb3b971,e8271ad9,4ba7cbea,2,361ca564,3,20,28,71.4,276,142,12,13,92.3,6,9,66.7,1,4,25.0,0,0.0,0.0,1,1,0,0,0,28,26,2,0,0,0,1,2,0,0,0,0,20,0,0,1,1,1,0,0,1,2,50.0,1,2,1,1,1,2,2,0,40,2,22,8,11,1,40,1,0,0.0,1,100.0,26,243,89,2,2,0,1,2,24,2,0,0,0,2,1,0,1,1,1,0,0,0,4,1,0,100.0,Defenders,0.0
Marcus Tavernier,16,eng ENG,WB,23-221,77,0,1,0,0,1,1,0,0,34,2,1,1,0.0,0.0,0.2,1,1,16,21,76.2,2,20,3,2,0,4ba7cbea,dcb3b971,5c0da4a4,4ba7cbea,2,361ca564,3,16,21,76.2,252,62,9,10,90.0,3,5,60.0,3,3,100.0,1,0.2,0.1,1,2,1,0,2,21,20,1,0,0,0,0,1,0,0,0,0,16,0,2,2,2,1,1,0,0,1,0.0,1,1,0,1,1,3,3,0,34,2,14,16,5,2,34,2,0,0.0,2,100.0,20,117,47,3,2,1,0,1,19,7,0,0,0,2,1,0,0,1,2,0,0,0,4,0,0,,Defenders,0.0
Ryan Fredericks,2,eng ENG,"WB,AM",30-019,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,0,0,4ba7cbea,dcb3b971,c067631c,4ba7cbea,2,361ca564,3,1,3,33.3,6,6,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,5,1,2,1,2,0,5,0,0,,0,,3,3,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Defenders,0.0
Marcos Senesi,25,ar ARG,CB,25-172,90,0,0,0,0,0,0,0,0,57,1,1,0,0.0,0.0,0.0,0,0,35,40,87.5,0,32,0,0,0,4ba7cbea,dcb3b971,35141f4c,4ba7cbea,2,361ca564,3,35,40,87.5,714,283,12,15,80.0,18,20,90.0,5,5,100.0,0,0.0,0.0,0,2,0,0,0,40,36,4,1,0,0,0,3,0,0,0,0,35,0,1,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,12,0,57,15,44,12,2,0,57,0,0,,0,,32,141,67,0,0,0,2,0,28,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,,Defenders,0.0
Chris Mepham,6,wls WAL,CB,24-358,90,0,0,0,0,1,1,0,0,49,3,1,2,0.0,0.0,0.0,0,0,30,34,88.2,0,27,0,0,0,4ba7cbea,dcb3b971,fed96827,4ba7cbea,2,361ca564,3,30,34,88.2,577,232,10,10,100.0,18,20,90.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0,34,33,1,1,0,0,0,0,0,0,0,0,30,0,0,3,0,3,0,0,1,1,100.0,0,2,1,1,1,4,9,0,49,12,44,4,1,1,49,0,0,,0,,27,154,104,0,0,0,0,0,24,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2,1,66.7,Defenders,0.0
Adam Smith,15,eng ENG,"CB,WB",31-183,90,0,1,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.2,2,1,27,34,79.4,2,23,1,0,0,4ba7cbea,dcb3b971,20b104bc,4ba7cbea,2,361ca564,3,27,34,79.4,447,202,14,14,100.0,10,12,83.3,3,7,42.9,1,0.2,0.2,1,0,1,1,2,34,28,6,1,0,0,1,5,0,0,0,0,27,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,5,0,39,5,22,14,4,0,39,0,0,,0,,23,85,33,1,1,0,0,0,22,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,100.0,Defenders,0.0
Son Heung-min,7,kr KOR,"AM,FW",30-113,90,0,0,0,0,3,2,0,0,45,0,0,0,0.2,0.2,0.7,8,0,26,41,63.4,0,20,1,1,1,361ca564,dcb3b971,92e7e919,4ba7cbea,2,361ca564,3,26,41,63.4,407,175,13,14,92.9,8,16,50.0,3,7,42.9,0,0.7,0.5,6,0,0,0,0,41,23,18,4,0,0,17,0,13,7,4,0,26,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,45,0,0,6,39,4,45,1,1,100.0,0,0.0,20,71,20,1,1,1,1,3,24,10,0,0,0,0,1,1,17,0,0,0,0,0,0,0,0,,Midfielders,1.0
